Identifier,Name,Height,Spread,Diameter,Maturity,Condition
00000597,London plane,24,16,87,Mature,Good
00000598,London plane,21,14,65,Mature,Good
00000599,London plane,21,14,71,Mature,Good
00000600,London plane,20,16,63,Mature,Good
00000601,London plane,24,12,67,Mature,Good
00000602,London plane,22,14,65,Mature,Good
00000603,London plane,23,14,60,Mature,Good
00000604,London plane,22,18,97,Mature,Good
00000605,London plane,21,14,85,Mature,Good
00000606,London plane,17,8,46,Middle aged,Good
00000607,London plane,21,14,75,Mature,Good
00000608,London plane,20,14,72,Mature,Good
00000609,London plane,22,14,73,Mature,Fair
00000610,London plane,22,15,76,Mature,Good
00000611,London plane,20,14,88,Mature,Good
00000612,London plane,20,10,59,Mature,Fair
00000613,London plane,23,12,78,Mature,Good
00000615,Tree of Heaven,16,9,56,Mature,Fair
00000616,Tree of Heaven,15,9,44,Middle aged,Fair
00000617,Tree of Heaven,17,9,45,Middle aged,Good
00000620,Apple,5,4,18,Mature,Fair
00000622,Tree of Heaven,12,11,69,Mature,Good
00000625,Hawthorn - Cockspur thorn,8,7,35,Mature,Good
00000627,Maple - Column Norway,14,6,41,Mature,Good
00000628,Whitebeam,9,9,45,Mature,Good
00000629,London plane,23,18,92,Mature,Good
00000631,Whitebeam,10,7,35,Mature,Fair
00000635,London plane,8,6,52,Mature,Good
00000636,London plane,11,8,47,Middle aged,Good
00000637,London plane,12,9,59,Mature,Good
00000638,London plane,11,7,47,Middle aged,Good
00000639,London plane,10,7,46,Middle aged,Good
00000640,Horse Chestnut,7,5,35,Middle aged,Fair
00000641,London plane,8,7,41,Middle aged,Good
00000642,London plane,12,7,46,Middle aged,Fair
00000643,London plane,10,7,42,Mature,Good
00000644,London plane,10,8,39,Middle aged,Good
00000645,Honey Locust,4,4,14,Middle aged,Fair
00000646,London plane,11,8,46,Middle aged,Good
00000647,London plane,10,8,52,Middle aged,Good
00000648,London plane,10,7,54,Mature,Fair
00000649,London plane,9,6,45,Middle aged,Fair
00000650,London plane,13,8,57,Mature,Good
00000651,London plane,10,8,59,Mature,Good
00000652,London plane,11,8,51,Mature,Good
00000653,London plane,11,8,54,Mature,Good
00000655,London plane,11,7,44,Middle aged,Good
00000656,London plane,6,5,32,Middle aged,Fair
00000657,London plane,10,7,58,Mature,Good
00000658,London plane,12,7,57,Mature,Good
00000659,London plane,10,7,50,Mature,Good
00000660,London plane,11,6,39,Middle aged,Good
00000661,London plane,7,6,57,Mature,Good
00000666,June Berry,4,4,10,Middle aged,Fair
00000667,June Berry,4,2,7,Middle aged,Good
00000668,June Berry,4,2,9,Middle aged,Fair
00000672,London plane,13,9,64,Mature,Good
00000687,London plane,19,17,72,Mature,Good
00000688,London plane,19,14,66,Mature,Good
00000689,Whitebeam,8,7,35,Middle aged,Good
00000709,London plane,8,7,32,Middle aged,Poor
00000710,London plane,3,1,6,Middle aged,Poor
00000711,London plane,10,7,35,Middle aged,Fair
00000712,London plane,10,7,26,Middle aged,Fair
00000713,False Acacia,12,8,40,Middle aged,Fair
00000714,False Acacia,10,7,31,Middle aged,Fair
00000715,False Acacia,12,7,35,Middle aged,Fair
00000716,False Acacia,13,10,42,Middle aged,Fair
00000720,Whitebeam,5,3,10,Middle aged,Fair
00000721,False Acacia,17,10,40,Mature,Fair
00000722,False Acacia,17,10,48,Mature,Good
00000727,Whitebeam,7,3,13,Middle aged,Good
00000730,False Acacia,17,9,43,Mature,Fair
00000733,Whitebeam - Swedish,4,2,9,Middle aged,Fair
00000735,Lime - Common,10,8,37,Middle aged,Fair
00000736,Lime - Common,9,6,23,Middle aged,Fair
00000737,Lime - Common,9,6,30,Middle aged,Fair
00000738,Lime - Common,9,6,32,Middle aged,Fair
00000739,Lime - Common,9,6,29,Middle aged,Fair
00000740,Lime - Common,10,7,33,Middle aged,Fair
00000741,Lime - Common,10,7,34,Middle aged,Fair
00000742,London plane,18,11,60,Mature,Fair
00000745,London plane,18,15,89,Mature,Fair
00000752,Willow - Crack,15,9,54,Mature,Good
00000753,Willow - Crack,16,10,70,Mature,Good
00000765,Willow - Crack,15,11,46,Mature,Good
00000768,"Cherry - Wild, Gean",10,7,33,Middle aged,Fair
00000769,"Cherry - Wild, Gean",10,7,28,Middle aged,Fair
00000770,"Cherry - Wild, Gean",10,7,19,Middle aged,Fair
00000771,"Cherry - Wild, Gean",10,7,25,Middle aged,Fair
00000772,"Cherry - Wild, Gean",10,7,24,Middle aged,Fair
00000776,Horse Chestnut,12,8,50,Middle aged,Fair
00000778,Horse Chestnut,9,8,35,Middle aged,Fair
00000779,London plane,18,16,110,Mature,Good
00000781,Cherry,7,7,22,Middle aged,Fair
00000784,Cherry,9,5,12,Middle aged,Fair
00000785,"Cherry - Wild, Gean",8,7,23,Middle aged,Fair
00000786,"Cherry - Wild, Gean",11,8,26,Middle aged,Fair
00000788,"Cherry - Wild, Gean",9,9,28,Middle aged,Fair
00000790,Horse Chestnut,14,13,98,Mature,Fair
00000791,Horse Chestnut,9,7,31,Middle aged,Good
00000792,Horse Chestnut,10,7,30,Middle aged,Good
00000793,Horse Chestnut,9,6,23,Middle aged,Fair
00000796,Horse Chestnut,14,14,70,Mature,Good
00000797,Horse Chestnut,8,5,29,Middle aged,Fair
